,user_id,actual,own_rec
0,1,"[  853529   865456   867607   872137   874905   875240   877373   878285
   879988   890882   912806   922281   938004   940839   940947   958046
   965599   976300   979707   983897   991024   991580   994799   995242
  1004906  1006546  1025641  1035584  1046816  1049998  1050310  1077430
  1082185  1087268  1089023  1097030  1097792  1098248  1102067  1119075
  1121590  1122428  1132968  5978648  8091601  8293343  8293439  9297615
  9527558  9655212 10149640 10457588 13115896 15596013 15716442  1005186
   907466   909497   963542  1067052 15596126 15797817   820165   840361
   856942   911409  1075074  1096120  1132911 15973008   829323   835108
   836423   851515   879280   941379   954443   968164   979792  1055201
  1069103  1069575  1074612  1082212  1082269  1099862  1115576  1129315
  6391068 13511822 13671834 15972927 15973164   829563   830156   832990
   871570   877391   901062   904959   931136   969403  1035805  1043064
  1135834  1137892  1138467  5577022  9526676]","[1082185, 995242, 1029743, 1106523, 1133018]"
1,2,"[15830248   838136   839656   861272   866211   870791   873916   893867
   901062   909396   913983   925437   930838   932182   947798   958137
   961791   970481   980666   990656   990797   993514  1011457  1062152
  1082185  1103898  1106523  1108168  1111116  1139142  6633224 12263788
 12301100 13038930 13190188 13876377 15452673 16035203   895388  8357614
 12301772   821083   828106   830960   833025   852864   857849   885023
   899624   900370   903325   916122   918925   974306   979707   997128
  1030981  1035843  1044895  1053690  1053763  1060529  1068343  1096261
  1123146  1128698  1133018  1134678  5592931  7407562 10149597 13776981
 15572067 17215077]","[1082185, 995242, 1029743, 1106523, 1133018]"
2,4,"[  883932   970760  1035676  1055863  1097610  6773204 13115703   831063
   891423   908283   954966   962229  1021324  1052294 10457506 13115481
   899470   963365  1038692  1133312  5570830  7431408]","[1082185, 995242, 1029743, 1106523, 1133018]"
3,6,"[ 1024306  1102949  6548453   835394   940804   962568   970030   976480
   981760  6703892   873654   994928  1098844  1122879  8357613  9835606
 12301109   863699   902292   930531   995242  1011876  1037863  1086483
  1116821 15800526   862866   900802   938700  1018553 13115971   839849
   845208   935516   950638   983096   996259  1015296  1035699  1053329
  1082185  1096036  1105282 12731544 13841965 15778051   850102   897088
   940806  1062782  1078346  1119051   946489 12731466 17105540   938622
   940278  1040935  7410346  8019274 13115375 13131271 17242234   850701
  1017061  1110392  5570882   854502  1008032 10149640 15926712 15972705
   870980   878996  1043006  9835619 12757544  1099058   895268]","[1082185, 995242, 1029743, 1106523, 1133018]"
4,7,"[  836281   843306   845294   914190   920456   938863   957013   993638
   995866   997101  1031833  1040137  1052046  1072483  1077143  1082185
  1106523  1110572  1127543  5568689  5572738 13213296 13417048 14043821
 15452140   840386   885592   898342   909714   923528   927841   965848
  1013321  1024032  1037720  1087955  1121865  1122358  1126899  1136257
  9836752   858537   953476   966058  1064441 13511134   882477   922307
   965797  1022003  1134294  5592610  5593033 10121610 10204277 12263449
 13115515 16809431   821556   848609   891410   908217   924475   949836
   971660   991223   994928   995785  1003188  1006546  1023196  1079023
  1105411  1127232  1133018  5591154  6514008  9338009  9677791  9677878
  9832469  9837501 12524016 13072715 13987153 13987338]","[1082185, 995242, 1029743, 1106523, 1133018]"
5,8,"[  868075   886787   945611  1005186  1008787  1013389  1085137  1089888
  6961519 12302069   822965   823565   827180   828525   830156   831815
   833715   837304   846830   857849   858918   872417   878285   908176
   917381   918390   923746   939636   949965   950550   952317   957839
   967762   969932   974306   995785   998373  1003421  1029743  1029915
  1033033  1042544  1044078  1062660  1066069  1074754  1077285  1082185
  1083207  1090507  1098692  1116578  1116671  1119879  1127624  1128182
  5578856  5591083  7167903  8069063  8181377 12301839 12523834 13876344
 13876352 15629817 15717126 15717170 15927932   855672   860776   866355
   900418   914318   942817   961554   962568   970030  1080414  6034857
  8159536   884897   893501   925514  6602265  9396767  9526274 15778504
   840361   853567   861961   870735   873654   903111   916050   940631
   950824   997979  1007152  1013434  1036262  1043590  1044895  1068719
  1083960  1105301  1110867 10204696 12948295 15972927   872137   924610
   999142  1080014  1121694  1130286]","[1082185, 995242, 1029743, 1106523, 1133018]"
6,9,"[  883616  1029743  1039126  1051323  1082772  1082845  1084968  1111825
  1114605  1131246  1135468  9297474 10456457 10456623 13381584 16729296
   860776   889692   893651   927400   947858   959409   962229  1027773
  1038217  1043301  5568191 13671735   857503   874255   876504   881708
   929433   937292   948254   960984   962568   987464   992826   995242
  1004001  1024329  1040346  1056005  1067606  1074499  1082185  1139036
  7467026  7467081 10150194 10457112 12132773 12171886]","[1082185, 995242, 1029743, 1106523, 1133018]"
7,13,"[ 6544236   822407   908317  1056775  1066289  1131351  5568869  7024814
  9488065 13130916 14025593 16769635   840587   843935   848761   877374
   882604   902396   906387   914190   914346   937444   943076   951197
   951590   983710  1003178  1006414  1029743  1068719  1082185  1096036
  1110764  1112598  1132771  1137346  1138467  5566278  5566803  5568729
  6423993  7167963  7433888  9526323  9527325 10150194 12263085 12301825
 13115579 13158898 15627237 15627407 15926775  6534178  9803545 13213058
   868971   889679   979707  1038985  1041796  1094371  1125077  9836903
  9858920  9859111 12262955 12263180   835464 15592752 15595898  1120256
   823758   828055   833715   859075   862070   867188   886317   890344
   890559   893802   909306   922433   923746   942687   948953   950439
   980727  1026448  1038217  1042438  1042685  1048563  1080414  1087755
  5978648  5978656  6554400  7168417 10355870 13512204   841549   857736
   912835   995242  1051402  1075214  9881593 13133916 15972298 16769806
   838602   870826   898466   901062   991659  1036972  1039156  1055504
  1075007  9553046  9677874   923260   984669  1014802   860975   863885
  1008714 12128605 16733537 17104856   847149   979644  1011089  1077555
  1101378  1136257 15863912 15926844]","[1082185, 995242, 1029743, 1106523, 1133018]"
8,14,"[  917277   981760   878234   925514   986394  1022003  1022872   850044
   845109   995242  1065593  1082310  1127758  1135552  5590158  5591490
   938863   992946  1123792  1130716  5582712   867293   938599   989157
  1074271  1115896   840601  1008673 13115822  1037340]","[1082185, 995242, 1029743, 1106523, 1133018]"
9,15,"[ 996016 1014509 1044404 1087353  976199 1029743 1070820 1105917  825994
  845208  903800  969977  972229  871611  838254  995242  969328 1070538
 1082185 1098248 1104343  852856 6443348  943320]","[1082185, 995242, 1029743, 1106523, 1133018]"
10,16,[  860361 12263439 13007710   866227  1084551  9835695],"[1082185, 995242, 1029743, 1106523, 1133018]"
11,17,"[  826784   833351   845208   850529   916050   923559   979077   995785
  1010164  1041925  1048441  1052411  1053763  1057377  1110057  1118046
  1120362  1138854  5576215 10355424 12263151 13513329   822558   835243
   842416   867447   899624   916284   954351   962568   996438  1020210
  1044299  1068719  1071602  1082185  1106523  6534077  7443332 13944371
   862866   867188   935993   937374   944486   978906   982790  1016963
  1034955  1040927  1099164  1120361  6514160  6533362 12524589   845725
   849843   875815   924004   948670   988233  1044078  9527417 12324948
 12324952 15926886  1022827   833025   837569   896085   916122   931302
   995242  1002336  1034990  1051637  1076516  1092013  1120261  1121028]","[1082185, 995242, 1029743, 1106523, 1133018]"
12,18,"[ 6533889   832001   840361   847270   938118   948420   951412  1128477
  9677886  9836460   826249   914577   921277   925694   944486   990797
  1010766  1040807  1046262  1058779  1071881  1081177  5978648  8292967
 12754036 12757162 13071902   894494  1118878  9858789 15626756   865456
   878715   938781   950697   961554   989101  1018050  1024629  1072968
  1114218  1115175  1131602 15506577   878467  8357768   941307  1029313
  1116821  7442880 15481763   821007   834022   880150  1032060  1053628
  9677236 15717061 16829183  1027191  1048257  1052912   874972   912704
   938700  1006184  1046047  1131974  5568657 13007741   825118   916122
   955577   995965  1023655  5978656 16828545   827024   831937   835278
   855251   870929   873654   904467   905913   909750   914190   919534
   937489   941734   961620  1005107  1008032  1044895  1047226  1048563
  1049708  1060819  1068719  1089108  1102248  1112592  1127651  5587894
  6602327  8065237  9858850 13505292 15737492 15741925 17179856   845975]","[1082185, 995242, 1029743, 1106523, 1133018]"
